proteinA	proteinB
ccmC	yhiK
cysM	yliL
dnaK	ygeP
elbB	yhiK
eutP	yncN
fepE	yaiF
fklB	ykgJ
fklB	yhiK
folB	yddJ
ftsN	ymgF
ftsW	ymgF
ftsZ	ymgF
gapA	yfjJ
groL	rfbC
groL	yjgZ
groS	ydbA
grpE	ydbA
hcr	yhiK
moaE	yhiK
mtlD	yncI
murF	yceQ
NoData	ygeP
nuoE	nuoG
phnB	ymfM
polA	ydbA
priA	priB
rluD	ymdF
rpsD	yddJ
secA	gapC
sgbE	ykgJ
sixA	yhiK
sufS	yhiK
trmE	yliL
ubiF	ydaC
xerC	yoeF
yaiI	yhiK
ybdL	yhiK
ybjM	rmf
ycdP	yliL
yedJ	ykgJ
yfdX	yfjZ
yfgB	yaiT
ygfB	rmf
ygjD	yedS
yjiM	gss
secA	aas
rluA	aat
topB	abgT
accA	accA
accD	accA
vacJ	accA
yhdY	accA
accC	accB
birA	accB
accC	accC
holA	accC
leuO	accC
yieN	accC
accA	accD
accC	accD
yhdY	accD
aceF	aceE
groL	aceE
ycjY	aceE
aceF	aceF
tyrR	aceF
uvrD	aceF
ada	aceK
bioB	aceK
cvrA	aceK
pbpG	aceK
yehX	aceK
ygjR	aceK
nadE	acnA
ybgC	acpP
acrA	acrA
yrbB	acrA
ytfQ	acrA
acrA	acrB
mdtF	acrB
tolC	acrB
acrA	acrD
tufB	acrF
acrR	acrR
argK	acrR
arpB	acrR
astE	acrR
bglG	acrR
ccmA	acrR
evgA	acrR
frlR	acrR
glpD	acrR
hdfR	acrR
tolB	acrR
ybdM	acrR
ycbW	acrR
yeaZ	acrR
yegL	acrR
ygiT	acrR
ygiZ	acrR
yibT	acrR
yifE	acrR
ymbA	acrR
actP	actP
dnaJ	add
rpsB	adhE
rplO	adiA
groL	adiY
murD	aegA
malT	aes
gshA	afuC
tufB	afuC
ahpC	ahpC
alsE	ahpF
tyrR	ahpF
aceF	aidB
cbpA	aidB
groL	aidB
rpsF	aidB
rpsG	aidB
ybaX	aidB
glmS	alaS
topA	alaS
tufB	alaS
ydfR	alaS
uup	aldA
dnaK	aldB
aceF	alkA
ybbS	allC
allR	allR
dnaC	alr
groL	alsA
alsK	alsK
holA	alsK
dnaK	ampC
hemN	ampH
glnB	amtB
glnK	amtB
frr	ansB
nrfG	ansB
sixA	ansB
visC	ansB
aroE	appY
araC	araC
lexA	araC
rhaS	araC
rpoD	araC
xerC	araC
ypdC	araC
araG	araG
arcA	arcA
prsA	arcA
tolC	arcA
rssB	arcB
dacB	argG
argI	argI
aroB	aroB
groL	aroH
arsR	arsR
uspG	artJ
artM	artM
nrdD	artP
ascG	ascG
era	ascG
fliG	ascG
frlR	ascG
idnK	ascG
mutM	ascG
pdxK	ascG
priC	ascG
sgcA	ascG
tolB	ascG
yabP	ascG
ybdM	ascG
ycbG	ascG
ycbW	ascG
ydaG	ascG
dnaK	asd
asnA	asnA
serC	asnA
asnB	asnB
dnaE	asnB
nadE	asnS
dnaK	aspA
glnL	aspA
aspC	aspC
nadE	aspC
dnaA	aspS
gltD	aspS
yibA	asr
groL	astB
groL	astC
mutH	astD
groL	atoD
atpD	atpA
cirA	atpA
ychH	atpA
yhaJ	atpA
atpA	atpC
atpB	atpC
atpC	atpC
atpD	atpC
atpG	atpC
atpA	atpD
ycbC	atpD
atpE	atpE
prmC	atpG
baeR	baeR
leuO	baeR
basS	basR
gltA	bcp
dnaE	bcsA
ppiB	bcsG
fepC	betA
surE	betA
lepA	betI
fecB	bglB
bglG	bglF
crr	bglF
bglG	bglG
nrdA	bglX
priC	bioB
rpmD	bioB
rpmE	bioB
secA	bioB
yedD	bioB
ygiZ	bioB
yqjG	bioB
ytfQ	bioB
groL	bioF
bipA	bipA
yaiE	bipA
ybeY	bipA
yigZ	bipA
sdaB	blc
bolA	bolA
ydhD	bolA
pheS	brnQ
btuD	btuC
ldcC	cadA
lysP	cadC
allR	caiC
caiC	caiC
acnA	caiD
crp	caiF
nikR	caiF
sgbE	caiF
yeeI	caiF
tufB	can
carB	carA
carB	carB
dnaK	cbpA
mukB	cbpA
rpsG	cbpA
srmB	cbpA
ydjI	cbrA
dtd	cca
tufB	cca
ada	cchB
bcp	cchB
cytR	cchB
rpmE	cchB
yggU	cchB
yiiS	cchB
yijD	cchB
yjcB	cchB
ytfQ	cchB
ccmC	ccmA
ccmD	ccmA
ccmE	ccmC
ccmC	ccmD
ccmE	ccmD
ccmF	ccmE
ccmH	ccmF
dipZ	ccmG
cchB	cdd
cdd	cdd
yafQ	cedA
hrpB	cfa
araC	chbR
chbR	chbR
groL	chbR
lexA	chbR
rhaR	chbR
rhaS	chbR
