Proteins	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene
RNase III	rnc	b2567	2703383	2704063
aldehyde dehydrogenase, Fe-S subunit // aldehyde dehydrogenase, FAD-binding Fe-S subunit // aldehyde dehydrogenase, molybdenum cofactor-binding subunit	paoC // paoB // paoA		298736	300934
ferrichrome outer membrane transport complex	fhuA // tonB // exbB // exbD		167484	169727
fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase	dfp	b3639	3812731	3813951
RcsB-BglJ DNA-binding transcriptional activator	rcsB // bglJ		2316177	2316827
putative transport complex, ABC superfamily	yphE // yphF // yphD		2676850	2678361
malate dehydrogenase (oxaloacetate-decarboxylating) (NADP<sup>+</sup>)	maeB	b2463	2576098	2578377
putative D,D-dipeptide ABC transporter	ddpF // ddpD // ddpA // ddpC // ddpB		1557112	1558038
DNA-binding transcriptional dual regulator CueR-Cu<sup>+</sup>	cueR		513993	514400
lysine&mdash;tRNA ligase	lysU	b4129	4353200	4354717
glucosamine-6-phosphate deaminase	nagB	b0678	702811	703611
bacterial condensin MukBEF	mukE // mukF // mukB		975622	976326
maltodextrin glucosidase	malZ	b0403	422518	424332
multidrug efflux pump AcrAD-TolC	acrA // acrD // tolC		484426	485619
DNA-binding transcriptional dual regulator NanR	nanR	b3226	3373698	3374489
N<sup>6</sup>-L-threonylcarbamoyladenine synthase	tsaB // tsaD // tsaE		1890572	1891267
arabinose ABC transporter	araF // araH // araG		1985139	1986128
CTP synthetase	pyrG	b2780	2908029	2909666
HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor	hipA // hipB		1590854	1592176
NH<sub>3</sub>-dependent NAD<sup>+</sup> synthetase	nadE	b1740	1822458	1823285
pyridoxal kinase 1 / hydroxymethylpyrimidine kinase	pdxK	b2418	2536386	2537237
PhoQ-<i>N</i>-phospho-L-histidine	phoQ		1188316	1189776
holo-EntB dimer // phosphopantetheinyl transferase EntD // holo [EntF peptidyl-carrier protein] // 2,3-dihydroxybenzoate-[aryl-carrier protein] ligase	entE // entF // entD // entB		626070	627680
dihydroneopterin aldolase	folB	b3058	3204221	3204589
succinate:quinone oxidoreductase subcomplex	sdhD // sdhC // sdhB // sdhA		755560	755907
dGTP triphosphohydrolase	dgt	b0160	179237	180754
3-oxoacyl-[acyl carrier protein] synthase 3	fabH	b1091	1148759	1149712
iron-sulfur cluster insertion protein ErpA	erpA	b0156	176610	176954
outer membrane channel TolC	tolC	b3035	3178115	3179596
hydrogenase 4	hyfH // hyfF // hyfE // hyfD // hyfC // hyfB // hyfA // hyfI // hyfG		2610164	2610709
acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase	lpxA	b0181	202560	203348
5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit	mnmE	b3706	3886828	3888192
DNA-binding transcriptional dual regulator NtrC	glnG	b3868	4053869	4055278
NMN aminohydrolase	pncC	b2700	2823849	2824346
HslV hexamer	hslV	b3932	4121757	4122287
sensor histidine kinase CreC	creC	b4399	4636696	4638120
glutaredoxin 4	grxD	b1654	1733754	1734101
glycerol-3-phosphate dehydrogenase, biosynthetic	gpsA	b3608	3782642	3783661
chemotaxis signaling complex core unit - serine sensing	tsr // cheA // cheW		4591657	4593312
3-carboxyethylcatechol 2,3-dioxygenase	mhpB	b0348	370277	371221
nucleoid-associated protein SymE	symE	b4347	4579499	4579840
ClpXP	clpX // clpP		457426	458700
reduced flavorubredoxin	norV	b2710	2832476	2833915
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	entA	b0596	628551	629297
cryptic phosphonate/phosphate ABC transporter	phnD // phnE // phnC		4323336	4324352
